eval,score,cl,cd
363,0.15411944835622804,-1.33454,0.015849
364,0.15577605505627257,-1.34675,0.015988
365,0.15071924740874232,-1.30664,0.015522
366,0.15745123228879543,-1.36185,0.016169
367,0.15428292929051068,-1.33202,0.015808
368,0.15556754302649933,-1.34266,0.015933
369,0.1605924287391075,-1.39606,0.016595
370,0.15620229372652183,-1.34487,0.01595
371,0.1573007083339255,-1.35949,0.016138
372,0.1570427225045783,-1.34286,0.0159
373,0.15675200415408053,-1.35858,0.016138
374,0.1465919322525585,-1.34173,0.016138
375,0.14583603130305556,-1.28656,0.015346
376,0.15782286499009712,-1.34252,0.015876
377,0.15707769734292054,-1.33577,0.015795
378,0.16088012679643282,-1.37945,0.016344
379,0.15842175262494107,-1.396,0.016647
380,0.1607119624662211,-1.37461,0.016277
381,0.15980346761594766,-1.35765,0.01605
382,0.15510849729455167,-1.32699,0.015714
383,0.15707166762665858,-1.33576,0.015795
384,0.15546515742095268,-1.36196,0.016219
385,0.1573104586787326,-1.36114,0.016162
386,0.15342703723380857,-1.34619,0.016037
387,0.16033757345378807,-1.36051,0.016079
388,0.14617196554044742,-1.30754,0.015646
389,0.14650530496791603,-1.35915,0.016396
390,0.15479887920903956,-1.36174,0.016232
391,0.15707724856947636,-1.33822,0.015831
392,0.15920839534033138,-1.39676,0.016639
393,0.15460961630695225,-1.35775,0.016178
394,0.15781971270590434,-1.3579,0.016102
395,0.15721328288316738,-1.36023,0.016151
396,0.16072286191984553,-1.37456,0.016276
397,0.14613056811284153,-1.28841,0.015366
398,0.15840966213219942,-1.35316,0.016018
399,0.15968007194921552,-1.35445,0.016006
400,0.15753100840086498,-1.36171,0.016165
