eval,score,cl,cd
48,-0.015005667709464543,-1.02023,0.015963
49,0.01651763116685434,-1.24875,0.018325
50,0.006121868029081989,-1.23807,0.018525
51,0.029647918295253928,-1.23552,0.017668
52,0.02278445011113317,-1.2321,0.017855
53,0.016305482797349446,-1.23703,0.018155
54,0.019019142244761755,-1.23481,0.018027
55,0.0046620752933216325,-1.21595,0.018241
56,0.029617689607718156,-1.22772,0.017551
57,-0.004605849408336304,-1.18216,0.018052
58,0.016979838403982206,-1.23858,0.018155
59,0.016054444342357144,-1.23011,0.018059
60,0.011052281879767478,-1.24894,0.018518
61,0.0028875294024320874,-1.22165,0.018389
62,0.023123944738238644,-1.2344,0.017878
63,0.0012917660638321338,-1.13255,0.017096
64,0.012838726360695718,-1.26745,0.018736
65,0.017176303434605744,-1.23216,0.018051
66,0.0337382600387498,-1.2362,0.017536
67,0.02087524226097881,-1.23161,0.017914
68,0.010939390246902603,-1.24095,0.018401
69,0.03719365143438691,-1.24216,0.017506
70,0.015953801944715185,-1.24197,0.018242
71,0.021033077127380673,-1.21856,0.017711
72,0.010963321328857023,-1.22376,0.01814
73,0.01698853976664827,-1.2386,0.018155
74,0.03129596070203344,-1.23204,0.017558
75,0.018235369073637098,-1.23618,0.018075
76,0.01623109676531831,-1.2323,0.018086
77,0.0223422477239944,-1.22963,0.017833
78,0.017023322172333266,-1.22421,0.017936
79,0.015475786805318248,-1.23063,0.018087
80,-0.008208748557178236,-1.06248,0.016366
81,0.008774427452746647,-1.10363,0.016398
82,0.016626442834141053,-1.22713,0.017994
83,0.021061263497505145,-1.2288,0.017865
84,0.030436907966182813,-1.24143,0.01773
85,0.03322902116071402,-1.24091,0.017625
86,0.02973174081978891,-1.22785,0.017549
87,0.031219357029999117,-1.23193,0.017559
88,0.026216859385959357,-1.20246,0.017287
89,0.019380107312287786,-1.23412,0.018004
90,0.028647170864719018,-1.22615,0.017561
91,0.017462299617875265,-1.22251,0.017895
92,0.03658533114230311,-1.24096,0.017509
93,0.029773042243607106,-1.26521,0.018113
94,0.022382003627952618,-1.2321,0.017869
95,0.02373247419238389,-1.22972,0.017786
96,0.033739193536159284,-1.23607,0.017534
97,-0.002622603259333278,-1.29336,0.019666
98,0.03586260899296445,-1.24399,0.01758
99,0.026470018631791048,-1.18137,0.016959
100,0.028661491587578247,-1.27435,0.01829
101,0.018543826079185366,-1.23418,0.018034
102,0.02263522588347877,-1.2381,0.017951
103,0.02196513023426061,-1.22949,0.017844
104,0.02930382998528447,-1.24279,0.01779
105,0.030068401115196486,-1.23424,0.017634
106,0.02632067596599391,-1.20032,0.017251
107,0.029738490588962385,-1.23738,0.017693
108,0.030431216257806537,-1.23514,0.017635
109,0.02630119708378098,-1.20642,0.017344
110,0.027977856435298043,-1.23406,0.017704
111,0.027948840998173963,-1.31447,0.018922
112,0.033340679410189145,-1.24784,0.017726
113,0.03632426867333738,-1.2767,0.018059
114,0.036768235080886,-1.2392,0.017476
115,0.03375923835086314,-1.23605,0.017533
116,0.02966383851042076,-1.22776,0.01755
117,0.03620268034705043,-1.2342,0.01742
118,0.033942216093629796,-1.24321,0.017635
119,0.03672678750470071,-1.23481,0.017411
120,0.031177474209956424,-1.24115,0.0177
121,0.02666013820963109,-1.25713,0.018099
122,0.038124731079142715,-1.2406,0.01745
123,0.028033990843260526,-1.22963,0.017635
124,0.03638237771977204,-1.27723,0.018065
125,-0.0006111045172678686,-1.35659,0.020553
126,0.03490984362048177,-1.2381,0.017524
127,0.03616900676136703,-1.24628,0.017604
128,0.036760359571975876,-1.23383,0.017395
129,0.029591145606617797,-1.27576,0.018279
130,0.03616918208395914,-1.2441,0.017571
131,0.03742423754504198,-1.24269,0.017506
132,0.038142133804475176,-1.24064,0.01745
133,0.03671012603445101,-1.23867,0.01747
134,0.03745662698813179,-1.2351,0.01739
135,-0.0016887105706167027,-1.13713,0.017269
136,0.03465970482342984,-1.23475,0.017482
137,0.033551978880957956,-1.25044,0.017758
138,0.03369419341817326,-1.24634,0.017691
